Time	Inst Time	Quantity	Trgt/ZrVl/Thr (WG)	Info/CrctDir	Angle	Velocity	Accel	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
10	0			LAST_MAINTAIN_THRUST=0 Segment Left Lower Leg out of range	TargetAngle=-8.00 -7.00 -6.00
10	0			Segment Left Lower Leg out of range	TargetAngle=-8.00 -7.00 -6.00
20	10	Ang	TargetIdx=-1		3.07
20	10	Vel	Zero=-1 Min=0 Max=100	1		-0.07
20	10	Accel	Thrust=-1 (0)	0			0.00	-0.03
20	10			Inc: V=Y V<MinV T=Y A=N
30	20	Ang	TargetIdx=-1		3.09
30	20	Vel	Zero=1 Min=0 Max=100	1		-0.01
30	20	Accel	Thrust=-2 (0)	0			0.06	-0.01
30	20			Inc: V=Y V<MinV T=Y A=N
40	30	Ang	TargetIdx=-1		2.79
40	30	Vel	Zero=1	0		0.02
40	30	Accel	Thrust=-3 (0)	0			0.03	0.03
40	30			Inc: V=N A=N T=Y
50	40	Ang	TargetIdx=-1		2.45
50	40	Vel	Zero=-1 Min=0 Max=16	1		-0.48
50	40	Accel	Thrust=-4 (0)	1			-0.50	-0.13
50	40			Dec: V=Y V<MinV T=Y A=Y A>MaxA
60	50	Ang	TargetIdx=-1		2.81
60	50	Vel	Zero=-1 Min=0 Max=21	1		-0.82
60	50	Accel	Thrust=-3 (0)	1			-0.34	-0.27
60	50			Dec: V=Y V<MinV T=Y A=Y A>MaxA
70	60	Ang	TargetIdx=-1		2.51
70	60	Vel	Zero=-1 Min=0 Max=94	1		-0.90
70	60	Accel	Thrust=-2 (0)	1			-0.08	-0.31
70	60			Inc: V=Y V<MinV T=Y A=Y A<MaxA
80	70	Ang	TargetIdx=-1		2.49
80	70	Vel	Zero=-1 Min=0 Max=6	1		-2.04
80	70	Accel	Thrust=-3 (0)	1			-1.15	-0.52
80	70			Dec: V=Y V<MinV T=Y A=Y A>MaxA
90	80	Ang	TargetIdx=-1		2.46
90	80	Vel	Zero=-1 Min=0 Max=20	1		-2.33
90	80	Accel	Thrust=-2 (0)	1			-0.29	-0.50
90	80			Dec: V=Y V<MinV T=Y A=Y A>MaxA
100	90	Ang	TargetIdx=-1		2.44
100	90	Vel	Zero=16 Min=0 Max=100	1		-2.19
100	90	Accel	Thrust=-1 (0)	0			0.14	-0.43
100	90			Inc: V=Y V<MinV T=Y A=N
110	100	Ang	TargetIdx=-1		2.42
110	100	Vel	Zero=15 Min=0 Max=100	1		-2.05
110	100	Accel	Thrust=-2 (0)	0			0.15	-0.00
110	100			Inc: V=Y V<MinV T=Y A=N
120	110	Ang	TargetIdx=-1		2.41
120	110	Vel	Zero=4 Min=0 Max=100	1		-1.54
120	110	Accel	Thrust=-3 (0)	0			0.51	0.26
120	110			Inc: V=Y V<MinV T=Y A=N
130	120	Ang	TargetIdx=-1		2.40
130	120	Vel	Zero=2 Min=0 Max=100	1		-0.90
130	120	Accel	Thrust=-4 (0)	0			0.64	0.43
130	120			Inc: V=Y V<MinV T=Y A=N
140	130	Ang	TargetIdx=-1		2.38
140	130	Vel	Zero=-1 Min=0 Max=10	1		-1.57
140	130	Accel	Thrust=-5 (0)	1			-0.67	0.16
140	130			Dec: V=Y V<MinV T=Y A=Y A>MaxA
150	140	Ang	TargetIdx=-1		2.36
150	140	Vel	Zero=-1 Min=0 Max=12	1		-2.08
150	140	Accel	Thrust=-4 (0)	1			-0.51	-0.18
150	140			Dec: V=Y V<MinV T=Y A=Y A>MaxA
160	150	Ang	TargetIdx=-1		2.34
160	150	Vel	Zero=-1 Min=0 Max=86	1		-2.15
160	150	Accel	Thrust=-3 (0)	1			-0.07	-0.42
160	150			Inc: V=Y V<MinV T=Y A=Y A<MaxA
170	160	Ang	TargetIdx=-1		2.32
170	160	Vel	Zero=14 Min=0 Max=100	1		-2.00
170	160	Accel	Thrust=-4 (0)	0			0.15	-0.14
170	160			Inc: V=Y V<MinV T=Y A=N
180	170	Ang	TargetIdx=-1		2.29
180	170	Vel	Zero=-1 Min=0 Max=10	1		-2.59
180	170	Accel	Thrust=-5 (0)	1			-0.60	-0.17
180	170			Dec: V=Y V<MinV T=Y A=Y A>MaxA
190	180	Ang	TargetIdx=-1		2.27
190	180	Vel	Zero=6 Min=0 Max=100	1		-2.16
190	180	Accel	Thrust=-4 (0)	0			0.43	-0.01
190	180			Inc: V=Y V<MinV T=Y A=N
200	190	Ang	TargetIdx=-1		2.25
