Time	Inst Time	Quantity	Trgt/ZrVl/Thr (WG)	Info/CrctDir	TargetAngle	CurrentAngle	Velocity	Accel	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
10	0			INITIAL THRUST=-1 Segment Left Lower Leg out of range	TargetAngle=-5.00 -3.00 -2.00
10	0			Segment Left Lower Leg out of range	TargetAngle=-5.00 -3.00 -2.00
20	10	Ang	TargetIdx=0		(-5.0<-3.0<-2.0)	3.04
20	10	Vel	Zero=0	0			0.16
20	10	Accel	Thrust=-1 (0)	0				0.09	0.03
20	10			Inc: V=N A=N T=Y
30	20	Ang	TargetIdx=0		(-5.0<-3.0<-2.0)	3.13
30	20	Vel	Zero=2	0			0.09
30	20	Accel	Thrust=-2 (0)	1				-0.07	0.00
40	30	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	2.47
40	30	Vel	Zero=-1 Min=0 Max=58	1			-0.05
40	30	Accel	Thrust=-2 (0)	1				-0.14	-0.04
50	40	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.77
50	40	Vel	Zero=-1 Min=0 Max=10	1			-0.82
50	40	Accel	Thrust=-2 (0)	1				-0.77	-0.33
60	50	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.75
60	50	Vel	Zero=-1 Min=0 Max=11	1			-1.44
60	50	Accel	Thrust=-2 (0)	1				-0.62	-0.51
70	60	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.73
70	60	Vel	Zero=-1 Min=0 Max=26	1			-1.68
70	60	Accel	Thrust=-2 (0)	1				-0.24	-0.54
80	70	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.72
80	70	Vel	Zero=7 Min=0 Max=100	1			-1.47
80	70	Accel	Thrust=-2 (0)	0				0.21	-0.22
90	80	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.71
90	80	Vel	Zero=3 Min=0 Max=100	1			-1.06
90	80	Accel	Thrust=-2 (0)	0				0.41	0.13
100	90	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.70
100	90	Vel	Zero=7 Min=0 Max=100	1			-0.91
100	90	Accel	Thrust=-2 (0)	0				0.15	0.26
110	100	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.69
110	100	Vel	Zero=-1 Min=0 Max=15	1			-1.38
110	100	Accel	Thrust=-2 (0)	1				-0.47	0.03
120	110	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.67
120	110	Vel	Zero=-1 Min=0 Max=9	1			-2.05
120	110	Accel	Thrust=-2 (0)	1				-0.67	-0.33
130	120	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.64
130	120	Vel	Zero=-1 Min=0 Max=7	1			-2.84
130	120	Accel	Thrust=-2 (0)	1				-0.79	-0.64
140	130	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.61
140	130	Vel	Zero=-1 Min=0 Max=25	1			-3.04
140	130	Accel	Thrust=-2 (0)	1				-0.20	-0.55
150	140	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.58
150	140	Vel	Zero=-1 Min=0 Max=40	1			-3.16
150	140	Accel	Thrust=-2 (0)	1				-0.12	-0.37
160	150	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.55
160	150	Vel	Zero=41 Min=0 Max=100	1			-3.09
160	150	Accel	Thrust=-2 (0)	0				0.08	-0.08
170	160	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.51
170	160	Vel	Zero=-1 Min=0 Max=100	1			-3.06
170	160	Accel	Thrust=-2 (0)	0				0.03	-0.01
180	170	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.48
180	170	Vel	Zero=-1 Min=0 Max=43	1			-3.17
180	170	Accel	Thrust=-2 (0)	1				-0.11	-0.00
190	180	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.45
190	180	Vel	Zero=-1 Min=0 Max=11	1			-3.61
190	180	Accel	Thrust=-2 (0)	1				-0.44	-0.17
200	190	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.40
200	190	Vel	Zero=-1 Min=0 Max=7	1			-4.18
200	190	Accel	Thrust=-2 (0)	1				-0.57	-0.37
210	200	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.36
210	200	Vel	Zero=-1 Min=0 Max=5	1			-4.90
210	200	Accel	Thrust=-2 (0)	1				-0.73	-0.58
220	210	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.30
220	210	Vel	Zero=-1 Min=100 Max=4	1			-5.60
220	210	Accel	Thrust=-2 (0)	1				-0.69	-0.66
230	220	Ang	TargetIdx=-1		(-5.0<-3.0<-2.0)	3.24
230	220	Vel	Zero=-1 Min=100 Max=4	1			-6.08
230	220	Accel	Thrust=-2 (0)	1				-0.48	-0.63
240	230	Ang	TargetIdx=93		(-5.0<-3.0<-2.0)	3.17
240	230	Vel	Zero=-1 Min=100 Max=3	1			-6.67
240	230	Accel	Thrust=-2 (0)	1				-0.59	-0.59
240	230			Dec: Targ<25 Zero>28 V=Y A=Y V>Min Need=-1 T=1
250	240	Ang	TargetIdx=90		(-5.0<-3.0<-2.0)	3.10
250	240	Vel	Zero=-1 Min=100 Max=7	1			-6.84
250	240	Accel	Thrust=-1 (0)	1				-0.18	-0.41
250	240			Dec: Targ<25 Zero>28 V=Y A=Y V>Min Need=-1 T=1
260	250	Ang	TargetIdx=90		(-5.0<-3.0<-2.0)	3.04
260	250	Vel	Zero=68 Min=18 Max=100	1			-6.74
260	250	Accel	Thrust=0 (0)	0				0.10	-0.22
270	260	Ang	TargetIdx=86		(-5.0<-3.0<-2.0)	2.97
270	260	Vel	Zero=-1 Min=100 Max=6	1			-6.94
270	260	Accel	Thrust=0 (0)	1				-0.20	-0.09
270	260			Dec: Targ<25 Zero>28 V=Y A=Y V>Min Need=-1 T=0
280	270	Ang	TargetIdx=77		(-5.0<-3.0<-2.0)	2.89
280	270	Vel	Zero=-1 Min=100 Max=1	1			-7.73
280	270	Accel	Thrust=1 (0)	1				-0.79	-0.30
280	270			Dec: Targ<25 Zero>28 V=Y A=Y V>Min Need=-1 T=0
290	280	Ang	TargetIdx=72		(-5.0<-3.0<-2.0)	2.81
290	280	Vel	Zero=-1 Min=100 Max=0	1			-8.09
290	280	Accel	Thrust=2 (0)	1				-0.36	-0.45
290	280			Dec: Targ<25 Zero>28 V=Y A=Y V>Min Need=-1 T=0
300	290	Ang	TargetIdx=68		(-5.0<-3.0<-2.0)	2.72
300	290	Vel	Zero=-1 Min=100 Max=0	1			-8.53
300	290	Accel	Thrust=3 (0)	1				-0.44	-0.53
300	290			Dec: Targ<25 Zero>28 V=Y A=Y V>Min Need=-1 T=0
310	300	Ang	TargetIdx=69		(-5.0<-3.0<-2.0)	2.64
310	300	Vel	Zero=31 Min=13 Max=0	1			-8.26
310	300	Accel	Thrust=3 (0)	0				0.27	-0.18
320	310	Ang	TargetIdx=72		(-5.0<-3.0<-2.0)	2.56
320	310	Vel	Zero=19 Min=7 Max=100	1			-7.83
320	310	Accel	Thrust=3 (0)	0				0.43	0.08
330	320	Ang	TargetIdx=77		(-5.0<-3.0<-2.0)	2.49
330	320	Vel	Zero=11 Min=4 Max=100	1			-7.18
330	320	Accel	Thrust=3 (0)	0				0.66	0.45
330	320			Stop Brake T=0: will stop too soon Targ>5 MinVelInd<5 T=N
340	330	Ang	TargetIdx=71		(-5.0<-3.0<-2.0)	2.41
340	330	Vel	Zero=-1 Min=100 Max=1	1			-7.70
340	330	Accel	Thrust=0 (0)	1				-0.53	0.19
340	330			Dec: Targ<25 Zero>28 V=Y A=Y V>Min Need=-1 T=0
350	340	Ang	TargetIdx=66		(-5.0<-3.0<-2.0)	2.33
350	340	Vel	Zero=-1 Min=100 Max=0	1			-8.20
350	340	Accel	Thrust=1 (0)	1				-0.50	-0.12
350	340			Dec: Targ<25 Zero>28 V=Y A=Y V>Min Need=-1 T=0
360	350	Ang	TargetIdx=60		(-5.0<-3.0<-2.0)	2.24
